1948,1280,0,29658,0
1949,3475.6,733,25617,8355
1950,4696.5,909,1.61E+05,0
1951,11505,125,67964,854
1952,2780.4,93,11156,0
1953,2907.4,150,45118,0
1954,12852,23882,4.29E+05,8682
1955,5177.5,372,3.09E+05,855
1956,1101.7,26,10971,1766
1957,7416.4,262,12407,11914
1958,44285,6184,1.89E+05,510
1959,25773,409,1.75E+05,368
1960,1862,51,8697,89
1961,1957.5,55,25787,7081
1962,28664,2939,1.70E+05,3829
1963,26742,147,1.12E+05,1674
1964,1321,0,17994,504
1965,2550.1,183,34707,0
1966,12943,658,1.40E+05,1425
1967,7264.3,66,2.17E+05,4052
1968,2063.8,0,21963,145
1969,3276,258,14617,0
1970,3602.6,470,2.24E+05,2194
1971,9462.6,1341,1.32E+05,1934
1972,1418,320,56465,0
1973,1149.6,419,24381,0
1974,25868,1353,2.47E+05,0
1975,16844,1665,1.75E+05,4007
1976,4897.9,38,18193,191
1977,2883.1,135,53835,16076
1978,30757,730,2.56E+05,4984
1979,24866,85,92992,42537
1980,4616,10,45127,7711
1981,5354.5,0,26268,4607
1982,27219,2737,4.92E+05,13474
1983,14014,3003,2.61E+05,8296
1984,9148,174,35743,100
1985,2684,332,32018,11226
1986,57069,1132,8.12E+05,11322
1987,41081,314,4.16E+05,25805
1988,7989.4,0,9027,1816
1989,2864,68,18809,0
1990,1.08E+05,136,2.72E+05,6413
1991,60845,0,84310,11255
1992,3586,0,15128,2778
1993,4950,0,6251,2465
1994,19151,0,1.70E+05,2662
1995,23928,17,64323,1700
1996,9590.2,0,32991,6479
1997,835.69,0,1944,0
1998,14548,182,2.11E+05,3684
1999,10072,32,1.06E+05,27996
2000,11860,0,58537,1026
2001,3743,0,14842,4200
2002,55465,930,4.98E+05,9301
2003,18483,0,11206,1160
2004,762.16,0,6671,233
2005,2325.8,0,7388,NaN
2006,57783,661,NaN,NaN
2007,5905.3,NaN,NaN,NaN
2008,310.99,NaN,NaN,NaN
2009,3093,NaN,NaN,NaN
